FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION ZW
scheme profiles)
5years 5 0,39%
6 years 6 0,55%
7 years 7 0,69%
8 years 8 0,81%
9 years 9 0,93%
10 years 10 1,03%
11 years 11 1,12%
12 years 12 1,20%
13 years 13 1,27%
14 years 14 1,33%
15 years 15 1,39%
16 years 16 1,44%
17 years 17 1,48%
18 years 18 1,52%
19 years 19 1,56%
20 years 20 1,60%
21 years 21 1,63%
22 years 22 1,67%
23 years 23 1,70%
24 years 24 1,73%
25 years 25 1,75%
26 years 26 1,78%
27 years 27 1,80%
28 years 28 1,82%
29 years 29 1,84%
30 years 30 1,86%

 

 

