FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION P.A.
scheme profiles)
5years 5 0,52%
6 years 6 0,65%
7 years 7 0,77%
8 years 8 0,86%
9 years 9 0,94%
10 years 10 1,01%
11 years 11 1,06%
12 years 12 1,11%
13 years 13 1,15%
14 years 14 1,18%
15 years 15 1,22%
16 years 16 1,25%
17 years 17 1,28%
18 years 18 1,31%
19 years 19 1,33%
20 years 20 1,35%
21 years 21 1,37%
22 years 22 1,39%
23 years 23 1,41%
24 years 24 1,43%
25 years 25 1,44%
26 years 26 1,46%
27 years 27 1,47%
28 years 28 1,48%
29 years 29 1,50%

30 years 30 1,51%

