FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION P.A.
scheme profiles)
5years 5 0,43%
6 years 6 0,56%
7 years 7 0,68%
8 years 8 0,78%
9 years 9 0,86%
10 years 10 0,93%
11 years 11 0,99%
12 years 12 1,04%
13 years 13 1,08%
14 years 14 1,12%
15 years 15 1,16%
16 years 16 1,20%
17 years 17 1,23%
18 years 18 1,26%
19 years 19 1,29%
20 years 20 1,31%
21 years 21 1,33%
22 years 22 1,36%
23 years 23 1,38%
24 years 24 1,39%
25 years 25 1,41%
26 years 26 1,43%
27 years 27 1,45%
28 years 28 1,46%
29 years 29 1,47%

30 years 30 1,49%

