FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION P.A.
scheme profiles)
5years 5 0,37%
6 years 6 0,50%
7 years 7 0,60%
8 years 8 0,69%
9 years 9 0,77%
10 years 10 0,84%
11 years 11 0,90%
12 years 12 0,95%
13 years 13 0,99%
14 years 14 1,03%
15 years 15 1,07%
16 years 16 1,10%
17 years 17 1,14%
18 years 18 1,16%
19 years 19 1,19%
20 years 20 1,22%
21 years 21 1,24%
22 years 22 1,26%
23 years 23 1,28%
24 years 24 1,30%
25 years 25 1,31%
26 years 26 1,33%
27 years 27 1,35%
28 years 28 1,36%
29 years 29 1,38%

30 years 30 1,39%

