FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from DURATION P.A.
scheme profiles)
5years 5 0,54%
6 years 6 0,68%
7 years 7 0,80%
8 years 8 0,90%
9 years 9 0,99%
10 years 10 1,06%
11 years 11 1,13%
12 years 12 1,18%
13 years 13 1,23%
14 years 14 1,27%
15 years 15 1,31%
16 years 16 1,35%
17 years 17 1,38%
18 years 18 1,42%
19 years 19 1,45%
20 years 20 1,47%
21 years 21 1,50%
22 years 22 1,52%
23 years 23 1,54%
24 years 24 1,56%
25 years 25 1,58%
26 years 26 1,60%
27 years 27 1,62%
28 years 28 1,64%
29 years 29 1,65%

30 years 30 1,67%

