FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 2,22%
6 years 6 2,37%
7 years 7 2,48%
8 years 8 2,57%
9 years 9 2,64%
10 years 10 2,69%
11 years 1 2,12%
12 years 12 2,16%
13 years 13 2,19%
14 years 14 2,83%
15 years 15 2,86%
16 years 16 2,89%
17 years 17 2,92%
18 years 18 2,95%
19 years 19 2,97%
20 years 20 2,99%
21 years 21 3,01%
22 years 22 3,03%
23 years 23 3,04%
24 years 24 3,06%
25 years 25 3,07%
26 years 26 3,09%
27 years 27 3,10%
28 years 28 3,11%
29 years 29 3,12%

30 years 30 3,13%

