FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 2,76%
6 years 6 2,91%
7 years 7 3,02%
8 years 8 3,10%
9 years 9 3,17%
10 years 10 3,21%
11 years 1 3,25%
12 years 12 3,29%
13 years 13 3,32%
14 years 14 3,36%
15 years 15 3,39%
16 years 16 3,42%
17 years 17 3,45%
18 years 18 3,47%
19 years 19 3,50%
20 years 20 3,52%
21 years 21 3,53%
22 years 22 3,55%
23 years 23 3,57%
24 years 24 3,58%
25 years 25 3,60%
26 years 26 3,61%
27 years 27 3,63%
28 years 28 3,64%
29 years 29 3,65%

30 years 30 3,66%

