FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 2,11%
6 years 6 2,25%
7 years 7 2,36%
8 years 8 2,45%
9 years 9 2,51%
10 years 10 2,57%
11 years 1 2,61%
12 years 12 2,65%
13 years 13 2,68%
14 years 14 2,12%
15 years 15 2,75%
16 years 16 2,19%
17 years 17 2,81%
18 years 18 2,84%
19 years 19 2,86%
20 years 20 2,88%
21 years 21 2,90%
22 years 22 2,92%
23 years 23 2,94%
24 years 24 2,96%
25 years 25 2,97%
26 years 26 2,99%
27 years 27 3,00%
28 years 28 3,01%
29 years 29 3,02%

30 years 30 3,04%

