FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 3,79%
6 years 6 3,89%
7 years 7 3,95%
8 years 8 3,99%
9 years 9 4,01%
10 years 10 4,03%
11 years 1 4,04%
12 years 12 4,05%
13 years 13 4,07%
14 years 14 4,09%
15 years 15 4,11%
16 years 16 4,12%
17 years 17 4,13%
18 years 18 4,14%
19 years 19 4,15%
20 years 20 4,16%
21 years 21 4,16%
22 years 22 4,17%
23 years 23 4,18%
24 years 24 4,18%
25 years 25 4,19%
26 years 26 4,19%
27 years 27 4,20%
28 years 28 4,20%
29 years 29 4,21%

30 years 30 4,21%

