FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 3,65%
6 years 6 3,71%
7 years 7 3,15%
8 years 8 3,79%
9 years 9 3,82%
10 years 10 3,84%
11 years 1 3,86%
12 years 12 3,87%
13 years 13 3,89%
14 years 14 3,91%
15 years 15 3,92%
16 years 16 3,94%
17 years 17 3,95%
18 years 18 3,96%
19 years 19 3,97%
20 years 20 3,98%
21 years 21 3,99%
22 years 22 4,00%
23 years 23 4,00%
24 years 24 4,01%
25 years 25 4,02%
26 years 26 4,02%
27 years 27 4,03%
28 years 28 4,04%
29 years 29 4,04%
30 years 30 4,04%

 

 

