FIXED DURATIONS MACAULAY DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 3.37%
6 years 6 3.41%
7 years 7 3.45%
8 years 8 3.47%
9 years 9 3.49%
10 years 10 3.51%
11 years 1 3.52%
12 years 12 3.53%
13 years 13 3.54%
14 years 14 3.55%
15 years 15 3.55%
16 years 16 3.56%
17 years 17 3.57%
18 years 18 3.57%
19 years 19 3.58%
20 years 20 3.58%
21 years 21 3.59%
22 years 22 3.59%
23 years 23 3.59%
24 years 24 3.59%
25 years 25 3.60%
26 years 26 3.60%
27 years 27 3.60%
28 years 28 3.60%
29 years 29 3.61%
30 years 30 3.61%

 

 

