 

FIXED DURATIONS MACAULAY | DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 3,83%
6 years 6 3,86%
7 years 7 3,90%
8 years 8 3,93%
9 years 9 3,97%
10 years 10 4,00%
11 years 1 4,03%
12 years 12 4,05%
13 years 13 4,06%
14 years 14 4,08%
15 years 15 4,09%
16 years 16 4,11%
17 years 17 4,12%
18 years 18 4,13%
19 years 19 4,14%
20 years 20 4,15%
21 years 21 4,16%
22 years 22 4,17%
23 years 23 4,18%
24 years 24 4,19%
25 years 25 4,19%
26 years 26 4,20%
27 years 27 4,21%
28 years 28 4,21%
29 years 29 4,22%

30 years 30 4,22%

