 

FIXED DURATIONS MACAULAY | DISCOUNT RATE

 

(interpolated from PSN rey [7
scheme profiles)

5 years 5 3,87%
6 years 6 3,90%
7 years 7 3,93%
8 years 8 3,96%
9 years 9 3,99%
10 years 10 4,02%
11 years 1 4,04%
12 years 12 4,06%
13 years 13 4,08%
14 years 14 4,10%
15 years 15 4,11%
16 years 16 4,12%
17 years 17 4,14%
18 years 18 4,15%
19 years 19 4,16%
20 years 20 4,17%
21 years 21 4,18%
22 years 22 4,19%
23 years 23 4,20%
24 years 24 4,21%
25 years 25 4,21%
26 years 26 4,22%
27 years 27 4,23%
28 years 28 4,23%
29 years 29 4,24%

30 years 30 4,24%

